doesHaveLinks,doesHaveSpammyWords,LengthOfText,NumberOfSymbols,class,
False,False,69,2,ham
False,False,137,6,ham
False,False,30,1,ham
False,False,165,12,ham
False,False,34,0,ham
False,False,109,7,ham
False,False,37,0,ham
False,False,33,2,ham
False,False,48,4,ham
False,False,157,8,ham
False,False,50,6,ham
False,False,65,0,ham
False,False,38,2,ham
False,False,145,14,ham
False,False,145,3,ham
False,False,51,1,ham
False,False,45,0,ham
False,False,83,5,ham
False,False,155,9,spam
False,False,37,2,ham
False,False,78,3,ham
False,False,30,0,ham
False,False,31,1,ham
False,False,146,5,ham
False,True,150,3,spam
False,False,44,0,ham
False,False,179,11,ham
False,False,27,2,ham
False,False,179,3,ham
False,False,38,3,ham
False,False,97,2,ham
False,False,43,3,ham
False,False,36,4,ham
False,False,154,4,ham
False,False,74,5,ham
False,False,3,0,ham
False,False,85,4,ham
False,False,51,3,ham
False,False,121,0,ham
False,False,26,1,ham
False,False,35,1,ham
False,False,47,1,ham
False,True,159,7,spam
False,False,47,3,ham
False,False,133,3,ham
False,False,53,2,ham
False,False,147,3,ham
False,True,155,7,spam
False,False,37,1,ham
False,False,31,2,ham
False,False,8,3,ham
False,False,38,0,ham
False,False,30,2,ham
False,False,47,2,ham
False,False,56,3,ham
False,False,22,1,ham
False,False,19,0,ham
False,False,29,1,ham
False,False,7,3,ham
False,False,121,3,ham
False,False,58,1,ham
False,False,4,2,ham
False,False,148,1,ham
False,False,160,14,ham
False,False,152,7,ham
False,False,37,1,ham
False,False,55,2,ham
False,False,21,2,ham
False,False,22,0,ham
False,False,50,2,ham
True,False,159,8,spam
False,False,67,1,ham
False,False,153,11,ham
False,False,51,1,ham
False,False,67,3,ham
False,False,88,2,ham
False,False,157,5,ham
False,False,91,2,ham
False,False,24,0,ham
False,True,146,15,spam
False,False,57,9,ham
False,False,26,1,ham
False,False,71,3,ham
False,False,138,6,ham
False,False,55,2,ham
False,False,156,3,ham
False,False,134,11,ham
False,False,119,3,ham
False,False,142,6,ham
False,False,41,2,ham
False,False,26,4,ham
False,False,119,14,ham
False,False,46,4,ham
True,False,157,4,spam
False,False,23,4,ham
False,False,51,3,ham
False,False,62,6,ham
False,False,107,2,ham
False,False,157,6,ham
False,False,30,2,ham
False,False,32,4,ham
False,False,31,3,ham
False,False,79,4,ham
False,False,32,2,ham
False,False,86,3,ham
False,False,22,5,ham
False,False,76,4,ham
False,False,128,4,ham
False,False,232,4,ham
False,False,159,8,ham
False,False,45,4,ham
False,False,57,2,ham
False,False,26,2,ham
False,False,22,2,ham
False,False,41,4,ham
False,False,28,2,ham
False,False,151,4,ham
False,False,29,1,ham
False,False,34,1,ham
False,False,52,1,ham
False,False,33,7,ham
False,False,85,4,ham
False,False,31,1,ham
False,True,111,8,spam
False,False,78,2,ham
False,False,50,3,ham
False,False,63,2,ham
False,False,148,7,ham
False,False,129,1,ham
False,False,45,7,ham
False,False,202,7,ham
False,True,150,3,spam
False,False,148,9,spam
False,False,168,10,ham
False,False,85,5,ham
False,False,38,7,ham
False,False,15,2,ham
False,False,31,1,ham
False,False,88,5,ham
False,False,160,8,ham
False,False,50,2,ham
True,False,165,11,spam
False,True,129,6,spam
False,False,26,2,ham
False,False,31,2,ham
False,False,129,9,ham
False,False,34,2,ham
False,False,54,8,ham
False,False,162,1,spam
False,False,157,3,ham
False,False,23,0,ham
False,False,53,6,ham
False,False,131,3,ham
False,False,36,0,ham
False,False,143,5,ham
False,False,300,14,ham
False,False,59,1,ham
False,False,42,5,ham
False,False,41,4,ham
True,False,149,4,spam
False,False,22,0,ham
False,False,31,1,ham
False,False,30,0,ham
True,False,155,4,spam
False,False,47,3,ham
False,False,25,4,ham
False,False,80,2,ham
False,False,22,1,ham
False,False,115,2,ham
False,False,56,3,ham
False,False,102,3,ham
False,False,118,4,ham
False,False,221,6,ham
False,False,204,11,ham
False,False,114,11,ham
True,False,158,5,spam
False,False,39,1,ham
False,False,36,1,ham
False,False,48,1,ham
False,False,77,6,ham
False,False,60,1,ham
False,False,168,6,ham
False,False,51,3,ham
False,False,22,0,ham
False,True,152,9,spam
False,False,75,0,ham
False,False,30,0,ham
False,False,95,12,ham
False,False,24,1,ham
False,False,49,1,ham
False,False,35,1,ham
False,False,29,0,ham
True,True,107,6,spam
False,False,66,3,ham
False,False,159,3,ham
False,False,48,4,ham
False,False,162,2,spam
False,False,24,3,ham
True,False,137,5,spam
False,False,248,30,ham
False,False,25,3,ham
False,False,27,4,ham
False,False,37,1,ham
False,False,69,5,ham
True,False,150,17,spam
False,False,24,1,ham
False,False,80,0,ham
False,False,157,2,ham
False,False,25,1,ham
False,False,73,9,ham
False,False,89,17,ham
False,False,58,2,ham
False,False,36,0,ham
False,False,76,2,ham
False,False,47,2,ham
False,False,104,8,ham
False,False,38,4,ham
False,False,69,9,ham
False,False,22,2,ham
False,False,66,1,ham
False,False,94,6,ham
False,False,70,6,ham
False,False,73,3,ham
False,False,42,4,ham
False,False,17,3,ham
False,False,13,1,ham
False,False,45,0,ham
False,False,57,6,ham
False,False,105,2,ham
False,False,164,11,spam
False,False,47,2,ham
False,False,117,3,ham
False,False,158,3,ham
False,False,79,6,ham
False,False,142,3,ham
False,False,62,1,ham
False,False,71,2,ham
True,False,175,8,spam
False,False,29,2,ham
False,False,29,0,ham
False,False,148,11,ham
False,False,83,2,ham
False,False,37,1,ham
False,False,44,4,ham
False,False,45,2,ham
False,False,161,5,spam
False,False,50,2,ham
False,False,298,18,ham
False,False,159,7,ham
False,False,125,10,ham
False,False,51,1,ham
False,False,28,4,ham
False,False,34,3,ham
False,False,46,3,ham
False,False,81,2,ham
False,False,28,1,ham
False,False,90,3,ham
False,False,18,3,ham
False,False,54,4,ham
False,False,55,0,ham
False,False,45,1,ham
True,True,146,4,spam
False,False,40,1,ham
False,False,107,4,ham
False,False,50,2,ham
False,False,120,2,ham
True,False,160,12,spam
False,False,32,2,ham
False,False,34,6,ham
False,False,32,2,ham
False,False,16,4,ham
False,False,67,6,ham
False,False,55,2,ham
False,False,43,2,ham
False,False,23,0,ham
False,False,149,4,ham
False,False,21,2,ham
False,False,23,1,ham
False,False,40,5,ham
True,False,170,8,spam
False,False,117,5,ham
False,False,62,2,ham
False,False,166,12,ham
False,False,24,2,ham
False,False,136,12,ham
False,False,99,2,ham
False,False,45,8,ham
False,False,23,2,ham
False,False,25,4,ham
True,False,148,8,spam
False,False,26,3,ham
False,False,146,7,ham
False,True,89,5,spam
False,False,168,5,ham
False,False,117,3,ham
False,False,46,2,ham
False,False,26,0,ham
False,False,28,0,ham
False,False,32,3,ham
False,False,145,11,ham
False,False,57,4,ham
False,False,160,12,ham
False,False,42,2,ham
False,False,111,1,ham
False,False,36,2,ham
False,False,146,8,ham
False,False,50,7,ham
False,False,33,7,ham
False,False,15,4,ham
False,False,177,6,ham
False,False,160,5,ham
False,False,63,4,ham
False,False,84,2,ham
False,False,84,2,ham
False,False,57,2,ham
False,True,96,6,spam
False,False,169,15,ham
False,False,76,4,ham
False,False,47,2,ham
False,False,130,3,ham
False,False,23,1,ham
False,False,149,3,ham
False,False,32,1,ham
False,False,22,7,ham
False,False,101,4,ham
False,False,281,9,ham
False,False,54,3,ham
False,False,120,2,ham
False,False,138,4,ham
False,False,135,1,ham
False,False,66,2,ham
False,False,40,4,ham
False,False,40,1,ham
False,False,70,4,ham
False,False,160,19,ham
False,False,26,5,ham
False,False,32,4,ham
False,False,51,3,ham
True,False,160,7,spam
False,False,146,16,ham
False,False,103,2,ham
False,False,45,2,ham
False,False,142,7,ham
False,False,92,3,ham
False,False,26,1,ham
False,False,134,9,spam
False,False,37,0,ham
False,False,22,1,ham
False,False,22,1,ham
False,False,33,3,ham
True,False,69,6,spam
False,False,109,5,ham
False,False,36,2,ham
False,False,100,3,ham
False,False,140,5,ham
False,False,51,4,ham
False,False,46,0,ham
False,False,149,0,ham
False,False,63,3,ham
False,False,95,4,ham
False,False,69,1,ham
False,False,110,12,ham
False,False,53,0,ham
False,False,27,0,ham
False,False,34,2,ham
False,True,127,12,spam
False,False,142,7,ham
False,False,148,9,spam
False,False,24,1,ham
False,False,147,9,spam
False,False,24,2,ham
False,False,29,0,ham
True,False,86,2,ham
False,False,87,3,ham
False,False,38,3,ham
False,False,104,8,ham
False,False,59,4,ham
False,False,38,1,ham
False,False,38,1,ham
False,False,22,3,ham
False,False,25,0,ham
True,False,135,8,spam
False,False,87,0,ham
False,False,19,3,ham
False,False,66,4,ham
False,False,140,2,ham
False,False,156,9,spam
False,False,22,0,ham
False,False,107,1,ham
False,False,65,3,ham
False,False,147,4,ham
False,False,137,4,ham
False,False,25,2,ham
False,False,60,7,ham
False,False,103,3,ham
False,False,37,5,ham
False,False,58,5,ham
False,False,87,1,ham
False,False,58,4,ham
False,False,123,3,ham
False,False,67,2,ham
False,False,66,1,ham
False,False,102,2,ham
False,True,130,2,spam
False,False,150,4,ham
False,False,35,1,ham
False,False,8,1,ham
False,False,62,1,ham
False,False,58,2,ham
False,True,143,13,spam
False,False,20,3,ham
False,False,100,3,ham
False,False,51,6,ham
False,False,36,2,ham
False,False,53,1,ham
False,False,88,3,ham
False,False,133,7,ham
False,False,36,0,ham
False,False,37,3,ham
False,False,127,3,ham
False,False,92,8,ham
False,False,80,2,ham
False,False,136,9,spam
False,False,35,2,ham
True,False,97,11,spam
False,False,66,4,ham
False,False,119,6,ham
False,False,65,3,ham
False,False,26,1,ham
False,False,28,0,ham
False,False,45,1,ham
False,False,157,4,ham
False,False,36,0,ham
False,True,94,3,spam
False,False,59,0,ham
False,False,140,11,ham
False,False,22,2,ham
False,False,57,7,ham
False,False,43,9,ham
False,False,61,3,ham
False,False,56,4,ham
False,False,54,1,ham
False,False,37,6,ham
False,False,25,1,ham
False,False,21,1,ham
False,False,36,2,ham
False,False,42,2,ham
True,False,154,4,spam
False,False,153,7,ham
False,False,46,8,ham
False,False,34,3,ham
False,False,80,4,ham
False,False,69,8,ham
False,False,24,1,ham
False,False,108,6,ham
False,False,46,4,ham
False,False,30,2,ham
False,False,22,1,ham
False,False,158,9,spam
False,False,87,3,ham
False,False,30,3,ham
False,False,143,4,ham
False,False,169,6,ham
False,False,42,2,ham
True,False,111,3,spam
False,False,18,1,ham
False,False,109,8,ham
False,False,76,3,ham
False,False,73,2,ham
False,False,92,1,ham
False,False,36,2,ham
False,False,54,3,ham
False,False,78,2,ham
False,False,30,4,ham
False,False,40,4,ham
False,False,29,2,ham
False,False,22,2,ham
False,False,77,0,ham
False,False,109,6,ham
False,False,75,7,ham
False,False,76,2,ham
False,False,30,0,ham
False,False,49,6,ham
False,True,155,6,spam
True,False,160,6,spam
False,False,269,11,ham
False,False,195,0,ham
False,False,37,1,ham
False,False,125,3,ham
False,False,48,2,ham
False,False,39,1,ham
False,False,163,9,spam
False,False,121,9,ham
True,False,147,4,spam
False,False,162,4,spam
False,False,29,1,ham
False,False,38,4,ham
False,False,25,1,ham
False,False,40,0,ham
False,False,226,10,ham
False,False,70,5,ham
False,False,140,13,ham
False,False,47,1,ham
False,False,63,2,ham
False,False,17,1,ham
False,False,101,4,ham
False,False,41,3,ham
False,False,80,2,ham
False,False,137,4,ham
False,False,103,3,ham
False,False,29,0,ham
False,False,51,2,ham
False,False,149,10,ham
False,False,25,1,ham
False,False,149,7,ham
False,False,38,2,ham
False,False,62,4,ham
False,False,181,8,ham
False,False,34,2,ham
False,False,47,2,ham
False,False,40,2,ham
False,False,110,5,ham
False,False,132,2,ham
False,False,101,2,ham
False,False,42,1,ham
False,False,102,3,ham
False,False,65,1,ham
False,False,27,0,ham
False,False,31,0,ham
False,False,82,6,ham
False,False,23,1,ham
False,False,59,2,ham
False,False,133,5,ham
False,False,33,0,ham
False,False,95,4,ham
False,False,96,6,ham
False,False,135,6,ham
False,False,161,7,spam
False,False,151,12,ham
False,False,73,2,ham
False,False,151,7,ham
False,False,103,10,ham
False,False,22,2,ham
False,False,51,1,ham
False,False,137,6,ham
False,False,58,1,ham
False,False,89,5,ham
False,False,81,1,ham
False,False,57,6,ham
False,False,26,2,ham
False,False,32,1,ham
False,False,145,2,ham
False,False,120,2,ham
False,False,143,3,ham
False,False,23,0,ham
False,False,136,12,ham
False,False,94,11,ham
False,False,8,1,ham
True,False,99,2,ham
False,False,65,1,ham
False,False,71,3,ham
False,False,117,3,ham
False,False,129,5,ham
False,False,158,7,ham
False,False,28,0,ham
False,False,150,4,ham
False,False,31,3,ham
False,False,72,11,ham
False,False,70,3,ham
False,False,94,6,ham
False,False,48,2,ham
True,False,160,8,spam
False,False,96,0,ham
False,False,31,1,ham
False,False,41,5,ham
True,False,154,11,spam
False,False,71,7,ham
True,True,162,7,spam
False,False,143,6,ham
False,False,25,2,ham
False,False,22,0,ham
False,False,48,2,ham
False,False,33,2,ham
False,False,44,0,ham
False,False,47,4,ham
False,False,26,10,ham
False,False,112,4,ham
False,True,150,5,spam
False,False,19,1,ham
False,False,133,5,ham
False,False,48,6,ham
False,False,107,4,ham
False,False,38,0,ham
False,False,27,0,ham
False,False,127,6,ham
False,False,131,9,ham
False,False,23,0,ham
False,True,156,10,spam
False,False,161,5,spam
False,False,25,1,ham
False,False,42,10,ham
False,False,27,2,ham
False,False,22,2,ham
False,False,98,6,ham
False,False,89,3,ham
False,False,147,6,ham
False,False,130,1,ham
False,True,152,13,spam
False,False,215,8,ham
False,False,26,2,ham
False,False,66,14,ham
False,False,149,0,ham
False,False,372,13,ham
False,False,155,0,ham
False,False,162,9,spam
False,False,82,0,ham
False,False,73,3,ham
False,False,76,3,ham
False,False,153,6,ham
False,False,24,4,ham
False,False,231,10,ham
False,False,87,3,ham
False,False,72,8,ham
False,False,105,4,ham
False,False,160,12,ham
False,False,54,2,ham
False,False,58,5,ham
False,False,54,1,ham
False,False,116,3,ham
False,False,88,5,ham
False,False,144,4,ham
False,False,29,1,ham
False,False,136,7,ham
False,False,23,1,ham
False,False,39,0,ham
False,False,35,2,ham
False,False,24,0,ham
False,False,95,4,ham
False,False,73,1,ham
False,False,45,0,ham
False,True,161,5,spam
False,False,159,2,ham
False,False,149,9,spam
False,False,134,4,ham
False,False,154,4,ham
False,False,92,2,ham
False,False,102,8,ham
False,False,31,1,ham
False,False,77,3,ham
False,False,139,19,ham
False,False,158,9,spam
False,False,44,1,ham
False,False,137,6,ham
False,False,132,3,ham
False,False,143,5,ham
False,True,127,9,spam
False,False,276,9,ham
False,False,78,5,ham
False,False,27,0,ham
False,False,79,1,ham
False,False,24,1,ham
False,False,52,2,ham
False,False,68,5,ham
False,False,24,0,ham
False,False,44,1,ham
False,False,24,1,ham
False,False,55,4,ham
False,False,62,7,ham
False,False,104,5,ham
False,False,87,7,ham
False,False,148,6,ham
False,False,49,1,ham
False,False,154,7,ham
False,False,56,4,ham
False,False,124,3,ham
False,False,126,2,ham
False,False,43,2,ham
False,False,77,2,ham
False,False,49,4,ham
False,False,84,2,ham
False,False,49,2,ham
False,False,162,6,spam
False,False,79,2,ham
False,False,31,0,ham
False,False,155,11,ham
False,False,146,4,ham
False,False,23,1,ham
False,False,160,11,ham
False,False,62,2,ham
False,False,39,2,ham
False,False,67,0,ham
False,False,73,1,ham
False,False,148,10,ham
False,False,88,2,ham
False,False,37,1,ham
False,False,23,0,ham
False,False,56,2,ham
False,False,53,2,ham
False,False,73,5,ham
False,True,80,4,spam
False,False,44,8,ham
False,False,92,5,ham
False,False,35,4,ham
False,False,23,1,ham
True,False,140,7,spam
False,False,106,8,ham
False,False,103,1,ham
False,False,34,0,ham
False,False,77,2,ham
False,False,159,6,ham
False,False,26,3,ham
False,False,47,4,ham
False,False,24,4,ham
False,False,149,7,ham
False,False,133,4,ham
False,False,126,6,ham
False,False,78,2,ham
False,False,132,5,ham
False,False,116,1,ham
False,False,221,4,ham
False,False,59,4,ham
False,False,137,8,ham
False,False,143,4,ham
False,False,24,0,ham
False,False,38,1,ham
False,False,42,2,ham
False,False,24,6,ham
False,False,157,7,ham
False,False,47,1,ham
False,False,41,0,ham
False,False,122,13,ham
False,False,126,7,ham
False,False,26,0,ham
False,False,114,4,ham
False,False,7,1,ham
False,False,34,2,ham
True,False,157,6,spam
False,False,92,8,ham
False,False,90,3,ham
False,False,22,0,ham
False,False,85,6,ham
False,False,63,3,ham
False,False,220,9,ham
False,False,41,1,ham
False,False,60,3,ham
False,False,88,4,ham
False,False,31,1,ham
False,False,37,1,ham
False,False,28,1,ham
False,False,24,3,ham
False,False,118,1,ham
False,False,22,0,ham
False,False,210,2,ham
False,False,50,8,ham
False,False,49,2,ham
False,False,87,2,ham
False,False,61,2,ham
False,False,141,7,ham
False,False,54,1,ham
False,False,28,0,ham
False,False,49,6,ham
False,False,53,9,ham
False,False,145,13,ham
False,False,162,13,spam
False,False,53,3,ham
False,False,12,0,ham
False,False,142,4,ham
False,False,73,10,ham
False,False,129,11,ham
False,False,33,4,ham
False,False,47,7,ham
False,False,72,3,ham
False,False,148,5,ham
False,False,107,5,ham
False,False,41,1,ham
False,False,23,4,ham
True,False,149,4,spam
False,False,104,8,ham
False,False,45,6,ham
False,False,26,1,ham
False,False,37,0,ham
True,False,150,6,spam
False,False,132,7,ham
False,False,63,10,ham
False,False,108,7,ham
False,False,93,0,ham
False,False,43,2,ham
False,False,46,6,ham
False,False,56,3,ham
False,False,37,4,ham
False,False,124,7,ham
True,True,158,6,spam
False,False,38,1,ham
False,False,53,7,ham
False,False,31,3,ham
False,False,224,9,ham
False,False,156,4,ham
False,False,24,1,ham
False,False,24,0,ham
False,False,52,2,ham
False,False,48,2,ham
False,False,28,1,ham
False,False,43,2,ham
False,False,49,3,ham
False,False,26,2,ham
False,False,58,2,ham
False,False,17,3,ham
False,False,26,1,ham
False,False,127,9,ham
False,False,103,0,ham
False,False,157,11,ham
False,False,34,1,ham
False,False,128,11,ham
False,False,142,3,ham
False,False,51,2,ham
False,False,60,1,ham
False,False,30,2,ham
False,False,41,3,ham
False,False,103,3,ham
False,False,101,3,ham
False,False,19,3,ham
False,False,112,4,ham
False,False,104,6,ham
False,False,78,2,ham
False,False,135,3,ham
False,False,41,1,ham
False,False,46,1,ham
False,False,136,3,ham
False,False,46,1,ham
False,False,157,6,ham
False,False,24,2,ham
False,False,17,1,ham
False,False,20,2,ham
False,False,84,5,ham
False,False,153,8,ham
False,False,63,5,ham
True,False,155,4,spam
False,False,122,5,ham
False,True,143,5,spam
False,False,50,3,ham
False,False,25,1,ham
False,False,44,2,ham
False,False,65,3,ham
False,False,134,3,ham
False,False,21,3,ham
False,False,47,2,ham
True,False,157,6,spam
False,False,90,3,ham
False,False,135,4,ham
False,False,39,0,ham
False,False,83,6,ham
False,False,44,2,ham
False,False,28,1,ham
False,False,24,0,ham
False,False,67,3,ham
False,False,67,1,ham
False,False,33,1,ham
False,False,24,3,ham
False,False,119,3,ham
False,False,910,22,ham
False,False,158,10,ham
False,False,35,2,ham
False,False,24,0,ham
False,False,153,10,ham
False,False,53,5,ham
True,False,147,3,spam
False,False,72,2,ham
False,False,19,1,ham
False,False,188,7,ham
False,False,71,5,ham
False,False,23,2,ham
False,False,142,3,ham
False,False,160,9,spam
False,False,73,3,ham
False,False,106,4,ham
False,False,80,1,ham
False,False,105,5,ham
False,False,43,7,ham
False,False,68,4,ham
False,True,159,7,spam
False,False,32,1,ham
False,False,159,13,ham
False,False,140,1,ham
False,False,101,7,ham
False,False,31,7,ham
False,False,23,0,ham
False,False,58,2,ham
False,False,37,0,ham
False,False,61,3,ham
False,False,60,5,ham
False,False,54,1,ham
False,False,69,5,ham
False,False,70,5,ham
False,False,72,2,ham
False,False,156,6,ham
False,False,40,2,ham
False,False,153,0,ham
False,False,36,5,ham
False,False,35,2,ham
False,False,34,3,ham
False,True,156,6,spam
False,False,79,3,ham
False,False,113,7,ham
False,False,105,5,ham
False,False,64,2,ham
False,False,25,3,ham
False,False,22,2,ham
False,False,35,2,ham
False,False,156,13,ham
False,False,58,3,ham
False,False,31,0,ham
True,True,120,4,spam
False,False,24,3,ham
False,False,17,2,ham
False,True,152,9,spam
False,False,41,3,ham
True,False,158,13,spam
False,False,80,2,ham
False,False,85,3,ham
False,False,115,13,ham
False,False,115,3,ham
False,False,25,7,ham
False,False,45,5,ham
False,False,70,7,ham
False,False,22,0,ham
False,False,43,3,ham
False,False,22,2,ham
False,False,22,3,ham
False,False,140,9,spam
False,False,72,2,ham
False,False,91,2,ham
False,False,70,6,ham
False,False,140,5,ham
False,False,31,7,ham
False,False,52,6,ham
False,False,40,0,ham
False,False,23,1,ham
True,False,155,6,spam
False,False,145,14,ham
False,False,54,2,ham
False,False,43,1,ham
False,False,30,0,ham
False,False,39,2,ham
False,False,71,4,ham
False,False,146,4,ham
False,False,73,1,ham
False,True,159,10,spam
False,False,23,1,ham
False,False,26,1,ham
False,False,59,2,ham
False,False,150,7,ham
False,False,167,3,ham
False,False,26,2,ham
False,False,66,3,ham
False,False,35,1,ham
False,False,26,3,ham
False,False,26,1,ham
False,False,49,6,ham
False,False,38,1,ham
False,False,36,2,ham
False,False,18,2,ham
False,False,48,7,ham
False,False,68,2,ham
False,False,73,3,ham
False,False,49,1,ham
False,False,13,4,ham
False,False,63,2,ham
False,False,133,3,ham
True,True,155,8,spam
False,False,13,6,ham
False,False,49,1,ham
False,False,74,2,ham
False,False,48,2,ham
False,False,138,5,ham
False,False,164,25,ham
False,False,40,3,ham
False,False,20,0,ham
False,False,61,2,ham
False,False,61,3,ham
False,True,147,8,spam
False,False,130,3,ham
False,False,148,8,ham
False,False,37,3,ham
False,False,31,0,ham
False,False,27,1,ham
False,False,41,2,ham
False,False,49,0,ham
False,False,52,2,ham
False,False,124,6,ham
False,False,63,3,ham
False,False,85,5,ham
False,False,50,2,ham
False,False,70,1,ham
False,False,55,8,ham
False,False,119,5,ham
True,False,143,7,spam
False,False,22,1,ham
False,False,43,2,ham
False,False,46,0,ham
False,False,146,4,ham
False,False,75,3,ham
False,True,159,3,spam
False,False,43,3,ham
True,True,123,6,spam
False,False,31,3,ham
False,False,76,7,ham
False,False,51,4,ham
False,False,27,2,ham
False,False,34,3,ham
False,False,127,8,ham
False,False,136,12,ham
False,False,24,1,ham
False,False,33,1,ham
False,False,63,2,ham
False,False,96,3,ham
False,False,53,3,ham
False,False,59,4,ham
False,False,52,0,ham
False,False,45,5,ham
False,False,34,4,ham
True,False,53,0,ham
False,False,111,6,ham
False,False,60,3,ham
False,False,152,7,ham
False,False,55,5,ham
False,False,84,2,ham
True,False,81,0,ham
False,False,87,0,ham
False,False,84,6,ham
False,False,26,1,ham
False,False,58,2,ham
False,False,46,6,ham
False,False,43,2,ham
False,False,24,2,ham
False,False,97,1,ham
False,False,70,5,ham
False,False,179,8,ham
False,False,120,7,ham
False,False,54,5,ham
False,False,26,0,ham
False,False,156,4,ham
False,False,47,0,ham
False,False,48,2,ham
False,False,147,3,ham
False,False,40,3,ham
